    text,label
did not feel humiliate,0
can go from feel so hopeless to so damned hopeful just from be around someone who care and be awake,0
am grab minute to post feel greedy wrong,3
be ever feel nostalgic about the fireplace will know that it be still on the property,2
be feel grouchy,3
have be feel little burdened lately was not sure why that be,0
have be take or milligram or time recommended amount and have fall asleep lot faster but also feel like so funny,5
feel confuse about life teenager or as jade year old man,4
have be with petronas for year feel that petronas have perform well and make huge profit,1
feel romantic too,2
feel like have to make the suffering see mean something,0
do feel that run be divine experience and that can expect to have some type of spiritual encounter,1
think it the easy time of year to feel dissatisfied,3
feel low energy just thirsty,0
have immense sympathy with the general point but possible proto writer try to find time to write in the corner of life and with no sign of an agent let alone publishing contract this feel little precious,1
do not feel reassured anxiety be on each side,1
did not really feel that embarrassed,0
feel pretty pathetic most of the time,0
start feel sentimental about doll have child and so begin collection of vintage barbie doll from the sixty,0
now feel compromise and skeptical of the value of every unit of work put in,4
feel irritated and reject without anyone do anything or say anything,3
be feel completely overwhelm have two strategy that help me to feel grounded pour my heart out in my journal in the form of letter to god and then end with list of five thing be most grateful for,4
have the feeling she be amuse and delight,1
be able to help chai lifeline with your support and encouragement be great feeling and be so glad you be able to help me,1
already feel like fuck up though because do not usually eat at all in the morning,3
still love my so and wish the best for him can no longer tolerate the effect that bm have on our life and the fact that be have turn my so into bitter angry person who be not always particularly kind to the people around him when he be feel stress,0
feel so inhibit in someone el kitchen like am paint on someone el picture,0
become overwhelmed and feel defeat,0
feel kinda appal that she feel like she need to explain in wide and lenghth her body measure etc pp,3
feel more superior dead chicken or grieving child,1
get giddy over feeling elegant in perfectly fit pencil skirt,1
remember feel acutely distress for few day,4
have see heard and read over the past couple of day be leave feeling impress by more than few company,5
climb the hill feel frustrate that id pretty much pace entirely wrong for this course and that factor that have never ever hamper me have make such dent in the day,3
can imagine real life scenario where would be emotionally connect enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex win be expect subsequently,1
be not sure what would make me feel content if anything,1
have be feel the need to be creative,1
do however want you to know that if something someone be cause you to feel less then your splendid self step away from them,1
feel bit rude write to an elderly gentleman to ask for gift because feel bit greedy but what be christmas about if not mild greed,3
need you need someone need to be protect and feel safe be small now find myself in season of no word,1
plan to share my everyday life story travel adventure inspiration and handmade creation with you and hope you will also feel inspired,1
already have my christmas tree up get two and be feel festive which sure be spur me to get start on this book,1
have worn it once on it own with little concealer and for the day am feel brave but do not want to be pale then it perfect,1
feel very strongly passionate about when some jerk off decides to poke and make fun of,1
be feel so discourage we be already rob peter to pay paul to get our cow this year but we can not afford to not get the cow this way,0
be feel listless from the need of new thing something different,0
